#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2229.999999999347,-2633.8617298899712,6180.019705308716,1935.6393858539923,66.2
2234.999999999365,-2692.4749446834794,7734.726304974406,2422.587886224464,66.2
2239.9999999993834,-2594.526070076307,16679.908035720295,5224.3016181046105,66.2
2244.9999999994016,-2568.638882231565,30200.285698803673,9459.009072808014,66.2
2249.9999999994197,-2493.9094743364894,42431.78437426842,13290.02769624585,66.2
2254.999999999438,-2181.3539185517493,53857.913264116556,16868.797046776486,66.2
2259.999999999456,-1818.6231819189768,58355.481560037544,18277.477075203355,66.2
2264.9999999994743,-1606.8391256997493,48399.76364168007,15159.254053896271,66.2
2269.9999999994925,-1803.0199774827756,48720.20268987141,15259.61853039008,66.2
2274.9999999995107,-1639.727129132093,45771.52792880741,14336.066296618686,66.2
2279.999999999529,-994.0510102228725,35672.63519602663,11172.999597932709,66.2
2284.999999999547,-1056.5390900220623,28625.14072378592,8965.659084060353,66.2
2289.9999999995653,-1094.0425271142858,18996.093022032765,5949.752198881707,66.2
2294.9999999995835,-424.0701070028789,13159.752838529621,4121.756421016033,66.2
2299.9999999996016,-734.4392177774694,14005.735525584674,4386.726030644899,66.2
2304.99999999962,-856.127754583521,20916.97192815332,6551.389255629141,66.2
2309.999999999638,-437.4700864859799,30434.05005256649,9532.226232579093,66.2
2314.999999999656,-759.4028345550955,46314.34963242928,14506.083079595006,66.2
2319.9999999996744,-237.0964453293267,55837.37709834153,17488.78344538102,66.2
2324.9999999996926,-545.2796722945754,69170.62665393061,21664.880644399458,66.2
2329.999999999711,-470.0721515950072,83995.81582279611,26308.26714255927,66.2
2334.999999999729,546.8111559885136,96678.16693509673,30280.49692317159,66.2
2339.999999999747,457.0446726457272,95372.43421616092,29871.52934722693,66.2
2344.9999999997654,385.0130360159727,92497.1874001855,28970.975425647594,66.2
2349.9999999997835,1515.094886177302,85127.83305501402,26662.825419819157,66.2
2354.9999999998017,1171.2771644866782,72574.57103454327,22731.02753786492,66.2
2359.99999999982,2653.06845464772,63038.17292504301,19744.13936272274,66.2
2364.999999999838,3437.615537529534,59704.263450743674,18699.928050292434,66.2
2369.9999999998563,4235.5841114271125,52730.58217006978,16515.70651137571,66.2
2374.9999999998745,1308.9027227904567,48456.87779197519,15177.142734527151,66.2
2379.9999999998927,1210.4080511609864,43838.02416660968,13730.475018067926,66.2
2384.999999999911,1617.1704105373537,39969.2490300762,12518.73882848036,66.2
2389.999999999929,1086.825507986651,36855.50341469008,11543.484874921895,66.2
2394.9999999999472,1174.232777640613,33258.745718881626,10416.947066086133,66.2
2399.9999999999654,585.2732373857822,32854.40550924085,10290.303969075809,66.2
2404.9999999999836,142.9381267270889,33290.92342235977,10427.025420714213,66.2
2410.000000000002,17.93344574914969,31792.80342277072,9957.800367362177,66.2
2415.00000000002,785.9825749268821,29167.918236460773,9135.662026022952,66.2
2420.000000000038,149.04874384292114,27821.249715879763,8713.872978022478,66.2
2425.0000000000564,208.0443312493956,22282.911741902175,6979.214251061946,66.2
2430.0000000000746,241.14499263041083,17938.3475669223,5618.4565298143225,66.2
2435.0000000000928,386.6403974605184,15342.202399145655,4805.319828352629,66.2
2440.000000000111,11.033215827126842,13862.781349758869,4341.951459317394,66.2
2445.000000000129,384.4396478006375,12730.442612262004,3987.2924836276684,66.2
2450.0000000001473,63.58883033623246,12555.6746033878,3932.553525259365,66.2
2455.0000000001655,34.39742852268996,14472.998636971965,4533.077163017662,66.2
2460.0000000001837,-49.60477403522929,14984.604053344932,4693.316715829618,66.2
2465.000000000202,128.76399626745612,13852.43457113212,4338.7107524618095,66.2
2470.00000000022,-30.374341583003684,13936.75583884654,4365.120954149834,66.2
2475.0000000002383,-188.056043518297,15529.46851536215,4863.973309647064,66.2
2480.0000000002565,-145.03009438524367,13430.334118848483,4206.504983032765,66.2
2485.0000000002747,-56.4691579827038,13029.811336097575,4081.0575394657917,66.2
2490.000000000293,47.74590498011429,11322.288090060496,3546.245450686939,66.2
2495.000000000311,-120.28388610390478,11389.575578282502,3567.320514940507,66.2
2500.0000000003292,-109.08326187846646,10205.298096460017,3196.3938436830613,66.2
2505.0000000003474,-74.98979224640605,8163.046314763327,2556.7416786443523,66.2
2510.0000000003656,-124.5469317286413,6687.953477925122,2094.7289458495957,66.2
2515.000000000384,-109.72705354198911,6561.225220535835,2055.036482394725,66.2
2520.000000000402,-79.2728791067835,5791.437783703921,1813.9319305455638,66.2
2525.00000000042,-184.25750278060207,4821.075735162439,1510.0055534045007,66.2
2530.0000000004384,-145.8686518691836,4633.580242383008,1451.2802292470046,66.2
2535.0000000004566,-239.01355804819087,5282.527762549699,1654.536600469882,66.2
2540.0000000004748,-263.9922213121408,4509.270613357876,1412.3453025872643,66.2
2545.000000000493,-126.6131601023003,4245.5000946999335,1329.7299341762434,66.2
2550.000000000511,-224.9573497529489,4275.31940357798,1339.0696177817358,66.2
2555.0000000005293,-264.29766640346253,3735.7383580247006,1170.0678389142636,66.2
2560.0000000005475,-273.54817034572176,3205.822012369671,1004.0931335299781,66.2
2565.0000000005657,-286.07708847788075,3450.198752060298,1080.6341908223085,66.2
2570.000000000584,-354.0861970610957,4362.968869287321,1366.522241893973,66.2
2575.000000000602,-292.908363909591,3856.8345644865976,1207.9962918775775,66.2
2580.0000000006203,-317.71368568227746,3891.7380777393278,1218.9283953623972,66.2
2585.0000000006385,-289.06095179695564,3163.5797329224883,990.8624605313175,66.2
2590.0000000006567,-337.5860762764381,3093.232588699124,968.8290836920614,66.2
2595.000000000675,-357.37309967833187,3639.324822843693,1139.8702271064133,66.2
2600.000000000693,-325.48009174853865,7201.029750346906,2255.4291843931146,66.2
2605.000000000711,-299.3037562154116,7041.962343918176,2205.607800065714,66.2
2610.0000000007294,-268.4238217482111,6864.659754576804,2150.07498763014,66.2
2615.0000000007476,-286.5172937465324,7353.402719868426,2303.1538091045904,66.2
2620.000000000766,-313.3390599424348,6415.770525176055,2009.478725199561,66.2
2625.000000000784,-385.5051648846072,3443.754179984017,1078.6156911846604,66.2
2630.000000000802,-406.97501088277664,2910.3045712943613,911.5343351072501,66.2
2635.0000000008204,-402.4457753858826,6460.547999032489,2023.5034445578358,66.2
2640.0000000008386,-398.57558487351076,9866.006648616529,3090.124621084122,66.2
2645.0000000008567,-370.5428298712293,8654.146843138515,2710.558910702714,66.2
2650.000000000875,-371.5635910838114,7054.837068719348,2209.640283066662,66.2
2655.000000000893,-429.59626406854613,4908.270293024904,1537.3156961675945,66.2
2660.0000000009113,-403.34777636186016,3099.971414490839,970.939746317562,66.2
2665.0000000009295,-494.21596583535376,2327.349444734216,728.947392514492,66.2
